   BENCHMARK INFORMATION
benchmark:          draft
date:               Wed, 2016-04-27 12:17:28 ART
tool:               CPAchecker 1.5-svn 1106192+
CPU cores used:     1
------------------------------------------------------------

   SYSTEM INFORMATION
host:               circulito
os:                 Linux 3.13.0-85-generic x86_64
cpu:                Intel Core i7-3770 CPU @ 3.40GHz
- cores:            8
- max frequency:    3901.0 MHz
ram:                16714.051584 MB
------------------------------------------------------------



generate-explicit.original
Run set 1 of 6: skipped 


generate-predicate.original
Run set 2 of 6: skipped 


produce-witnesses-unexplored-predicate-from-explicit.original
Run set 3 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.explicit.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
Run set 4 of 6 with options '-heap 12000M -config test-configs/components/predicateAnalysis-generate-and-use-cmc-condition-print-specified-calls.properties -setprop limits.time.cpu=900s -setprop specification=${sourcefile_path}/${sourcefile_name}.predicate.assumption_automaton,test-configs/specification/AssumptionGuidingAutomaton.spc,test-configs/my-specification/detect-unexplored-calls.spc -outputpath benchexec-outputs/${inputfile_name}/${rundefinition_name}/${benchmark_date}/ -skipRecursion' and propertyfile 'None'

inputfile                         status                    cpu time   wall time        host     total   reached    memory
--------------------------------------------------------------------------------------------------------------------------
systemc/bist_cell.c               ERROR                         2.46        2.51        None    1.453s      None      None
systemc/kundu.c                   ERROR                         2.57        2.59        None    1.524s      None      None
systemc/kundu1_BUG.c              false(reach)                 18.30       18.32        None   15.733s    0.101s      None
systemc/kundu2_BUG.c              false(reach)                 22.08       22.10        None   18.641s    0.087s      None
systemc/mem_slave_tlm.1.c         ERROR                         3.16        3.18        None    1.895s      None      None
systemc/mem_slave_tlm.2.c         true                         20.36       20.40        None   18.931s    0.227s      None
systemc/mem_slave_tlm.3.c         true                         25.97       26.02        None   24.211s    0.170s      None
systemc/mem_slave_tlm.4.c         false(reach)                103.15      103.22        None   96.260s    0.579s      None
systemc/mem_slave_tlm.5.c         false(reach)                 28.20       28.24        None   25.535s    0.221s      None
systemc/pc_sfifo_1.c              ERROR                         2.36        2.39        None    1.399s      None      None
systemc/pc_sfifo_1_BUG.c          false(reach)                  6.90        6.92        None    5.385s    0.045s      None
systemc/pc_sfifo_2.c              ERROR                         2.44        2.46        None    1.403s      None      None
systemc/pc_sfifo_2_BUG.c          false(reach)                  8.07        8.09        None    6.234s    0.006s      None
systemc/pc_sfifo_3.c              ERROR                         2.48        2.50        None    1.423s      None      None
systemc/pipeline.c                false(reach)                 53.89       53.94        None   47.874s    0.194s      None
